ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Glottolog_Name
kabardianturkish,Kabardian (Turkish),Eurasia,43.5082,43.3918,kaba1278,kbd,Abkhaz-Adyge [abkh1242],Kabardian
italian,Italian,Eurasia,43.0464,12.6489,ital1282,ita,Indo-European [indo1319],Italian
zurichgerman,Zurich German,Eurasia,,,zuri1239,,Indo-European [indo1319],Zürich German
norwegianstandardstnorsk,Norwegian (Standard Østnorsk),Eurasia,,,stno1234,,Indo-European [indo1319],Østnorsk
irishgaothdobhair,Irish (Gaoth Dobhair),Eurasia,,,done1238,,Indo-European [indo1319],Donegal
danish,Danish,Eurasia,54.8655,9.36284,dani1285,dan,Indo-European [indo1319],Danish
faroese,Faroese,Eurasia,62.0732,-6.88497,faro1244,fao,Indo-European [indo1319],Faroese
swedishcentral,Swedish (Central),Eurasia,59.800634,17.389526,swed1254,swe,Indo-European [indo1319],Swedish
frisianwest,Frisian (West),,,,mode1264,,Indo-European [indo1319],Modern West Frisian
scottishgaeliclewis,Scottish Gaelic (Lewis),Eurasia,56.7574,-5.24366,scot1245,gla,Indo-European [indo1319],Scottish Gaelic
welshllanwrtyd,Welsh (Llanwrtyd),Eurasia,52.0,-4.0,wels1247,cym,Indo-European [indo1319],Welsh
bretonbothoa,Breton (Bothoa),Eurasia,48.2452,-3.78934,bret1244,bre,Indo-European [indo1319],Breton
scotsnorthern,Scots (Northern),Eurasia,,,nort2617,,Indo-European [indo1319],Northern Scots
germanstandard,German (Standard),Eurasia,48.649,12.4676,stan1295,deu,Indo-European [indo1319],German
irishcorcadhuibhne,Irish (Corca Dhuibhne),Eurasia,,,muns1250,,Indo-European [indo1319],Munster-Leinster
dutch,Dutch,Eurasia,52.0,5.0,dutc1256,nld,Indo-European [indo1319],Dutch
englishrp,English (RP),Eurasia,,,sout3285,,Indo-European [indo1319],Southeastern English
french,French,Eurasia,48.0,2.0,stan1290,fra,Indo-European [indo1319],French
englishliverpool,English (Liverpool),Eurasia,,,nort3299,,Indo-European [indo1319],Northern English
friulian,Friulian,Eurasia,46.1473,13.0493,friu1240,fur,Indo-European [indo1319],Friulian
luxembourgish,Luxembourgish,Eurasia,49.6839,6.14931,luxe1241,ltz,Indo-European [indo1319],Moselle Franconian
lemichin,Lemi Chin,Eurasia,,,lemy1239,,Sino-Tibetan [sino1245],Lemyo
byangsi,Byangsi,Eurasia,29.92002,80.63653,byan1241,bee,Sino-Tibetan [sino1245],Byangsi
lhomitibetan,Lhomi Tibetan,Eurasia,27.5948,87.7161,lhom1239,lhm,Sino-Tibetan [sino1245],Lhomi
kunmingchinesesouthwestmandarin,Kunming Chinese (Southwest Mandarin),Eurasia,25.049711,102.72274,kunm1234,,Sino-Tibetan [sino1245],Kunming Chinese
shaoxingchinese,Shaoxing Chinese,Eurasia,29.8621,119.682,wuch1236,wuu,Sino-Tibetan [sino1245],Wu Chinese
khowar,Khowar,Eurasia,36.0,72.0,khow1242,khw,Indo-European [indo1319],Khowar
palula,Palula,Eurasia,35.5096,71.8421,phal1254,phl,Indo-European [indo1319],Palula
ushojo,Ushojo,Eurasia,35.1584,72.643,usho1238,ush,Indo-European [indo1319],Ushojo
sanglechi,Sanglechi,Eurasia,36.45,71.3,sang1344,sgy,Indo-European [indo1319],Sanglechi
shughni,Shughni,Eurasia,37.5018,71.7925,shug1248,sgh,Indo-European [indo1319],Shughni
rushani,Rushani,Eurasia,,,rush1239,,Indo-European [indo1319],Rushani
khufi,Khufi,Eurasia,,,khuf1238,,Indo-European [indo1319],Khufi
sarikoli,Sarikoli,Eurasia,37.905,75.1449,sari1246,srh,Indo-European [indo1319],Sarikoli
yazghulami,Yazghulami,Eurasia,38.2801,71.565,yazg1240,yah,Indo-European [indo1319],Yazgulyam
southwestpashai,Southwest Pashai,Eurasia,34.8478,69.8734,sout2671,psh,Indo-European [indo1319],Southwest Pashayi
gawarbati,Gawarbati,Eurasia,35.1982,71.5428,gawa1247,gwt,Indo-European [indo1319],Gawar-Bati
grangali,Grangali,Eurasia,34.6485,70.7323,gran1245,nli,Indo-European [indo1319],Grangali
tirahi,Tirahi,Eurasia,34.1792,69.5901,tira1253,tra,Indo-European [indo1319],Tirahi
kalamswatdirkohistani,Kalam (Swat-Dir) Kohistani,Eurasia,,,kala1374,,Indo-European [indo1319],Kalam (Pakistan)
torwali,Torwali,Eurasia,35.3101,72.5316,torw1241,trw,Indo-European [indo1319],Torwali
wotapurikatarqalai,Wotapuri-Katarqalai,Eurasia,34.7033,70.8565,wota1240,wsv,Indo-European [indo1319],Wotapuri-Katarqalai
induskohistanikanyawali,Indus Kohistani (Kanyawali),Eurasia,35.3389,73.0154,indu1241,mvy,Indo-European [indo1319],Indus Kohistani
shinagilgit,Shina (Gilgit),Eurasia,,,gilg1243,,Indo-European [indo1319],Gilgit
